timestamp,cpu_percent,cpu_level,mem_percent,mem_used_gb,mem_total_gb,battery_percent,battery_charging,drain_rate,thermal_estimate,ai_process_count,active_connections,fps_estimate,total_processes
2026-03-25T16:21:11.958918,65.5,FAIR,58.4,37.15,63.65,75,True,,,21,395,,588
2026-03-25T16:22:11.780920,67.5,FAIR,58.8,37.41,63.65,76,True,,,21,394,,586
2026-03-25T16:23:11.576022,74.4,HIGH,58.0,36.94,63.65,77,True,,,21,405,,586
2026-03-25T16:24:12.163281,76.4,HIGH,59.3,37.72,63.65,78,True,,,21,396,,592
2026-03-25T16:25:12.124831,72.7,HIGH,58.5,37.26,63.65,79,True,,,21,400,,589
2026-03-25T16:26:11.958443,67.8,FAIR,58.9,37.49,63.65,80,True,,,21,389,,590
2026-03-25T16:27:11.357963,66.0,FAIR,58.8,37.4,63.65,80,True,,,21,389,,588
2026-03-25T16:28:11.387052,65.6,FAIR,58.9,37.46,63.65,81,True,,,21,399,,588
2026-03-25T16:29:11.602480,69.3,FAIR,58.4,37.15,63.65,82,True,,,21,386,,588
2026-03-25T16:30:11.822150,66.0,FAIR,58.9,37.46,63.65,83,True,,,21,400,,589
2026-03-25T16:31:11.053039,65.4,FAIR,58.5,37.25,63.65,83,True,,,21,396,,589
2026-03-25T16:32:11.342440,64.3,FAIR,58.5,37.24,63.65,84,True,,,21,385,,587
2026-03-25T16:33:11.641938,96.4,CRITICAL,58.6,37.32,63.65,85,True,,,21,387,,589
2026-03-25T16:34:11.814966,68.0,FAIR,58.4,37.18,63.65,85,True,,,21,384,,592
2026-03-25T16:35:12.046357,71.5,HIGH,59.0,37.54,63.65,86,True,,,21,378,,590
2026-03-25T16:36:11.715489,72.3,HIGH,58.4,37.17,63.65,87,True,,,21,386,,588
2026-03-25T16:37:11.311138,71.8,HIGH,58.9,37.51,63.65,87,True,,,21,396,,586
2026-03-25T16:38:11.503912,74.3,HIGH,58.8,37.4,63.65,88,True,,,21,385,,588
2026-03-25T16:39:11.284926,68.7,FAIR,59.1,37.64,63.65,88,True,,,21,381,,587
2026-03-25T16:40:12.284072,73.0,HIGH,58.9,37.46,63.65,89,True,,,21,415,,591
2026-03-25T16:41:11.346829,78.3,HIGH,59.2,37.68,63.65,89,True,,,21,396,,591
2026-03-25T16:42:11.392219,68.9,FAIR,59.0,37.57,63.65,90,True,,,21,401,,585
2026-03-25T16:43:10.960875,87.8,HIGH,58.1,36.98,63.65,90,True,,,21,408,,585
2026-03-25T16:44:11.447392,64.8,FAIR,57.9,36.85,63.65,91,True,,,21,402,,589
2026-03-25T16:45:11.587276,68.7,FAIR,57.6,36.64,63.65,91,True,,,21,397,,585
2026-03-25T16:46:10.522406,71.9,HIGH,57.5,36.59,63.65,92,True,,,21,393,,586
2026-03-25T16:47:09.073581,62.9,FAIR,55.8,35.54,63.65,92,True,,,21,382,,586
2026-03-25T16:48:09.024439,61.0,FAIR,55.4,35.25,63.65,92,True,,,21,389,,584
2026-03-25T16:49:08.671972,64.0,FAIR,54.6,34.78,63.65,93,True,,,21,390,,585
2026-03-25T16:50:08.961514,66.9,FAIR,54.5,34.69,63.65,93,True,,,21,384,,587
2026-03-25T16:51:08.521802,60.6,FAIR,54.5,34.71,63.65,93,True,,,21,386,,585
2026-03-25T16:52:08.800950,62.9,FAIR,54.5,34.68,63.65,94,True,,,21,385,,583
2026-03-25T16:53:08.168139,60.3,FAIR,54.5,34.69,63.65,94,True,,,21,384,,583
2026-03-25T16:54:08.657441,60.0,FAIR,54.6,34.76,63.65,94,True,,,21,388,,588
2026-03-25T16:55:08.539753,60.3,FAIR,54.8,34.87,63.65,95,True,,,21,399,,586
2026-03-25T16:56:08.287090,58.8,FAIR,54.9,34.93,63.65,95,True,,,21,385,,587
2026-03-25T16:57:08.594959,59.8,FAIR,54.9,34.91,63.65,95,True,,,21,407,,588
2026-03-25T16:58:08.406400,59.3,FAIR,54.8,34.89,63.65,95,True,,,21,385,,586
2026-03-25T16:59:08.399082,66.5,FAIR,54.7,34.83,63.65,96,True,,,21,379,,585
2026-03-25T17:00:09.443500,58.8,FAIR,54.9,34.93,63.65,96,True,,,21,410,,584
2026-03-25T17:01:09.477719,67.7,FAIR,55.2,35.13,63.65,96,True,,,21,420,,588
2026-03-25T17:02:08.878172,57.9,FAIR,55.1,35.06,63.65,96,True,,,21,404,,585
2026-03-25T17:03:08.301893,59.7,FAIR,54.9,34.96,63.65,97,True,,,21,398,,585
2026-03-25T17:04:08.367921,60.7,FAIR,55.0,35.0,63.65,97,True,,,21,383,,589
2026-03-25T17:05:08.397517,60.1,FAIR,54.9,34.97,63.65,97,True,,,21,376,,587
2026-03-25T17:06:08.173163,80.6,HIGH,55.0,35.03,63.65,97,True,,,21,374,,586
2026-03-25T17:07:07.954044,62.1,FAIR,55.0,34.97,63.65,97,True,,,21,387,,583
2026-03-25T17:08:07.931634,58.6,FAIR,55.0,34.98,63.65,98,True,,,21,371,,583
2026-03-25T17:09:08.181466,60.5,FAIR,55.0,34.98,63.65,98,True,,,21,379,,583
2026-03-25T17:10:08.691993,66.2,FAIR,55.0,34.99,63.65,98,True,,,21,396,,585
2026-03-25T17:11:08.499108,62.4,FAIR,55.1,35.05,63.65,98,True,,,21,402,,587
2026-03-25T17:12:08.150268,64.1,FAIR,55.0,35.03,63.65,98,True,,,21,378,,585
2026-03-25T17:13:08.082831,69.9,FAIR,55.1,35.08,63.65,99,True,,,21,388,,586
2026-03-25T17:14:08.525020,65.4,FAIR,55.2,35.1,63.65,99,True,,,21,389,,593
2026-03-25T17:15:08.602763,60.2,FAIR,55.0,35.02,63.65,99,True,,,21,388,,588
2026-03-25T17:16:08.370006,64.3,FAIR,55.1,35.05,63.65,99,True,,,21,388,,588
2026-03-25T17:17:08.230565,60.2,FAIR,55.0,35.0,63.65,99,True,,,21,383,,586
2026-03-25T17:18:08.179267,61.4,FAIR,55.1,35.06,63.65,99,True,,,21,383,,586
2026-03-25T17:19:08.220743,65.3,FAIR,55.1,35.04,63.65,99,True,,,21,388,,587
2026-03-25T17:20:08.506770,61.1,FAIR,55.0,35.01,63.65,99,True,,,21,387,,587
2026-03-25T17:21:07.968924,66.2,FAIR,55.1,35.07,63.65,99,True,,,21,381,,585
2026-03-25T17:22:08.060354,59.4,FAIR,55.1,35.04,63.65,99,True,,,21,389,,583
2026-03-25T17:23:08.339683,58.7,FAIR,55.1,35.08,63.65,100,True,,,21,386,,584
2026-03-25T17:24:08.215283,60.3,FAIR,55.2,35.11,63.65,100,True,,,21,385,,587
2026-03-25T17:25:08.417668,57.0,FAIR,55.2,35.11,63.65,100,True,,,21,396,,587
2026-03-25T17:26:08.215323,59.1,FAIR,55.3,35.18,63.65,100,True,,,21,391,,587
2026-03-25T17:27:08.277903,65.1,FAIR,55.2,35.11,63.65,100,True,,,21,390,,585
2026-03-25T17:28:07.997131,61.0,FAIR,55.1,35.09,63.65,100,True,,,21,389,,585
2026-03-25T17:29:08.164681,58.5,FAIR,55.2,35.1,63.65,100,True,,,21,412,,586
2026-03-25T17:30:08.301355,60.3,FAIR,55.2,35.11,63.65,100,True,,,21,388,,586
2026-03-25T17:31:08.240868,57.2,FAIR,55.3,35.17,63.65,100,True,,,21,391,,588
2026-03-25T17:32:08.093273,62.0,FAIR,55.3,35.21,63.65,100,True,,,21,384,,587
2026-03-25T17:33:08.584599,63.2,FAIR,55.2,35.14,63.65,100,True,,,21,387,,589
2026-03-25T17:34:08.485683,65.2,FAIR,55.6,35.36,63.65,100,True,,,21,382,,589
2026-03-25T17:35:08.846432,67.1,FAIR,55.4,35.29,63.65,100,True,,,21,378,,586
2026-03-25T17:36:08.362757,59.7,FAIR,55.6,35.37,63.65,100,True,,,21,380,,586
2026-03-25T17:37:07.953366,58.5,FAIR,55.5,35.32,63.65,100,True,,,21,383,,584
2026-03-25T17:38:08.323378,64.3,FAIR,55.4,35.28,63.65,100,True,,,21,382,,585
2026-03-25T17:39:08.170830,62.7,FAIR,55.5,35.32,63.65,100,True,,,21,382,,585
2026-03-25T17:40:09.019039,74.3,HIGH,55.4,35.29,63.65,100,True,,,21,403,,585
2026-03-25T17:41:08.281706,63.9,FAIR,55.6,35.38,63.65,100,True,,,21,383,,588
2026-03-25T17:42:08.278745,58.5,FAIR,55.5,35.34,63.65,100,True,,,21,385,,585
2026-03-25T17:43:08.264150,61.4,FAIR,55.5,35.34,63.65,100,True,,,21,397,,585
2026-03-25T17:44:08.340115,68.3,FAIR,55.6,35.36,63.65,100,True,,,21,386,,589
2026-03-25T17:45:08.811553,58.2,FAIR,55.6,35.41,63.65,100,True,,,21,380,,588
2026-03-25T17:46:08.827113,63.1,FAIR,55.9,35.58,63.65,100,True,,,21,409,,589
2026-03-25T17:47:08.471161,60.6,FAIR,55.8,35.54,63.65,100,True,,,21,381,,588
2026-03-25T17:48:08.410366,63.2,FAIR,55.7,35.44,63.65,100,True,,,21,385,,586
2026-03-25T17:49:08.695490,66.3,FAIR,55.6,35.42,63.65,100,True,,,21,392,,587
2026-03-25T17:50:08.486403,58.9,FAIR,55.7,35.42,63.65,100,True,,,21,383,,587
2026-03-25T17:51:08.239564,60.2,FAIR,55.7,35.46,63.65,100,True,,,21,377,,585
2026-03-25T17:52:08.664455,57.8,FAIR,55.7,35.44,63.65,100,True,,,21,380,,583
2026-03-25T17:53:08.303998,59.5,FAIR,55.9,35.59,63.65,100,True,,,21,384,,584
2026-03-25T17:54:08.343124,57.5,FAIR,55.7,35.48,63.65,100,True,,,21,395,,587
2026-03-25T17:55:08.880479,60.0,FAIR,55.8,35.53,63.65,100,True,,,21,424,,589
2026-03-25T17:56:08.426738,61.4,FAIR,56.0,35.64,63.65,100,True,,,21,427,,587
2026-03-25T17:57:08.608810,57.0,FAIR,55.9,35.59,63.65,100,True,,,21,410,,590
2026-03-25T17:58:08.289941,71.2,HIGH,55.8,35.51,63.65,100,True,,,21,407,,585
2026-03-25T17:59:08.397567,58.3,FAIR,55.6,35.41,63.65,100,True,,,21,397,,585
2026-03-25T18:00:08.239845,63.7,FAIR,55.7,35.46,63.65,100,True,,,21,384,,584
